Register Address,UnitName,UnitId,FunctionGroup,FunctionNumber,DatapointId,DatapointName,Type,TypeName,Decimal,FunctionGroup name,Function name,Steps,Min. value,Max. value,Writable,unit,Commentary,Text 0,Text 1,Text 2,Text 3,Text 4,Text 5,Text 6,Text 7,Text 8,Text 9,Text 10,Text 11,Text 12,Text 13,Text 14,Text 15,Text 16,Text 17,Text 18,Text 19,Text 20,Text 21,Text 22,Text 23,Text 24,Text 25,Text 26,Text 27,Text 28,Text 29,Text 30,Text 31
1,SOL,65,22,0,14,TKO1 collector temperature,1,S16,1,Collector,Collector 1,1,-300,3000,No,°C,TKO1 collector temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SOL,65,22,1,14,TKO2 collector temperature,1,S16,1,Collector,Collector 2,1,-300,3000,No,°C,TKO2 collector temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SOL,65,22,1,2034,Total yield collector_high,2,S32,0,Collector,Collector 2,1,0,0,No,kWh,Total yield collector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SOL,65,22,1,2034,Total yield collector_low,1,S32,0,Collector,Collector 2,1,0,0,No,kWh,Total yield collector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SOL,65,22,1,2030,Current collector output,1,S16,1,Collector,Collector 2,1,0,32767,No,kW,Current collector output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SOL,65,22,0,2032,Operating hours pump Solar,1,U16,0,Collector,Collector 1,1,0,65535,No,h,"Under 81 Resetting the operating hours (only possible to change to ""0"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SOL,65,22,1,2032,Operating hours pump Solar,1,U16,0,Collector,Collector 2,1,0,65535,No,h,"Under 81 Resetting the operating hours (only possible to change to ""0"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SOL,65,22,0,2034,Total yield collector_high,2,S32,0,Collector,Collector 1,1,0,0,No,kWh,Total yield collector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SOL,65,22,0,2034,Total yield collector_low,1,S32,0,Collector,Collector 1,1,0,0,No,kWh,Total yield collector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SOL,65,22,0,2030,Current collector output,1,S16,1,Collector,Collector 1,1,0,32767,No,kW,Current collector output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SOL,65,0,0,23084,Activate relay test,1,U8,0,General,General,1,0,1,No,,Activate relay test#0=AUS#1=EIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SOL,65,0,0,21036,VA1 output,1,U8,0,General,General,1,0,1,Yes,,Output status / activation 0=OFF 1=ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,SOL,65,0,0,21037,VA2 output,1,U8,0,General,General,1,0,1,Yes,,Output status / activation 0=OFF 1=ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,SOL,65,0,0,21038,VA3 output,1,U8,0,General,General,1,0,1,Yes,,Output status / activation 0=OFF 1=ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SOL,65,0,0,21039,VA1-FE1 output,1,U8,0,General,General,1,0,1,Yes,,Output status / activation 0=OFF 1=ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,SOL,65,0,0,21040,VA2- FE1 output,1,U8,0,General,General,1,0,1,Yes,,Output status / activation 0=OFF 1=ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,SOL,65,0,0,21041,VA3-FE1 output,1,U8,0,General,General,1,0,1,Yes,,Output status / activation 0=OFF 1=ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,SOL,65,0,0,21043,VA1-FE2 output,1,U8,0,General,General,1,0,1,Yes,,Output status / activation 0=OFF 1=ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,SOL,65,0,0,21044,VA2- FE2 output,1,U8,0,General,General,1,0,1,Yes,,Output status / activation 0=OFF 1=ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,SOL,65,0,0,21045,VA3-FE2 output,1,U8,0,General,General,1,0,1,Yes,,Output status / activation 0=OFF 1=ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,SOL,65,0,0,21078,VA10V/PWM output,1,U8,0,General,General,5,0,100,Yes,%,"Status output / activation 0-100% (5% steps, 0-10V output must be config.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,SOL,65,0,0,21079, VA10V/PWM-FE1 output,1,U8,0,General,General,5,0,100,Yes,%,"Status output / activation 0-100% (5% steps, 0-10V output must be config.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,SOL,65,0,0,21080, VA10V/PWM-FE2 output,1,U8,0,General,General,5,0,100,Yes,%,"Status output / activation 0-100% (5% steps, 0-10V output must be config.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,SOL,65,0,0,29042,Active error 1_appearance_time,3,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,SOL,65,0,0,29042,Active error 1_appearance_date,4,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,SOL,65,0,0,29042,Active error 1_disappear_time,5,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
