ModbusId,UnitName,UnitId,FunctionGroup,FunctionNumber,DatapointId,DatapointName,Type,TypeName,Decimal,FunctionGroup name,Function name,Steps,Min. value,Max. value,Writable,unit,Commentary,Text 0,Text 1,Text 2,Text 3,Text 4,Text 5,Text 6,Text 7,Text 8,Text 9,Text 10,Text 11,Text 12,Text 13,Text 14,Text 15,Text 16,Text 17,Text 18,Text 19,Text 20,Text 21,Text 22,Text 23,Text 24,Text 25,Text 26,Text 27,Text 28,Text 29,Text 30,Text 31
1,SOL,65,22,0,14,TKO1 Kollektor Temperatur,1,S16,1,Kollektor,Kollektor 1,1,-300,3000,No,°C,TKO1 Kollektor Temperatur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SOL,65,22,1,14,TKO2 Kollektor Temperatur,1,S16,1,Kollektor,Kollektor 2,1,-300,3000,No,°C,TKO2 Kollektor Temperatur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SOL,65,22,1,2034,Gesamtertrag Kollektor_high,2,S32,0,Kollektor,Kollektor 2,1,0,0,No,kWh,Gesamtertrag Kollektor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SOL,65,22,1,2034,Gesamtertrag Kollektor_low,1,S32,0,Kollektor,Kollektor 2,1,0,0,No,kWh,Gesamtertrag Kollektor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SOL,65,22,1,2030,Kollektorleistung aktuell,1,S16,1,Kollektor,Kollektor 2,1,0,32767,No,kW,Kollektorleistung aktuell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SOL,65,22,0,2032,Betriebsstunden PS Pumpe Solar,1,U16,0,Kollektor,Kollektor 1,1,0,65535,No,h,"Unter 81 Zuruecksetzen der Betriebsstunden (nur aenderung auf ""0"" moeglich)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SOL,65,22,1,2032,Betriebsstunden PS Pumpe Solar,1,U16,0,Kollektor,Kollektor 2,1,0,65535,No,h,"Unter 81 Zuruecksetzen der Betriebsstunden (nur aenderung auf ""0"" moeglich)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SOL,65,22,0,2034,Gesamtertrag Kollektor_high,2,S32,0,Kollektor,Kollektor 1,1,0,0,No,kWh,Gesamtertrag Kollektor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SOL,65,22,0,2034,Gesamtertrag Kollektor_low,1,S32,0,Kollektor,Kollektor 1,1,0,0,No,kWh,Gesamtertrag Kollektor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SOL,65,22,0,2030,Kollektorleistung aktuell,1,S16,1,Kollektor,Kollektor 1,1,0,32767,No,kW,Kollektorleistung aktuell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SOL,65,0,0,23084,Relaistest aktivieren,1,U8,0,Allgemein,Allgemein,1,0,1,Yes,,Relaistest aktivieren#0=AUS#1=EIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SOL,65,0,0,21036,status Solarregelung,1,U8,0,Allgemein,Allgemein,1,0,1,Yes,,Status Ausgang / Aktivierung 0=AUS 1=EIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,SOL,65,0,0,21037,VA2 HW-Ausgang,1,U8,0,Allgemein,Allgemein,1,0,1,Yes,,Status Ausgang / Aktivierung 0=AUS 1=EIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,SOL,65,0,0,21038,VA3 HW-Ausgang,1,U8,0,Allgemein,Allgemein,1,0,1,Yes,,Status Ausgang / Aktivierung 0=AUS 1=EIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SOL,65,0,0,21039,VA1-FE1 HW-Ausgang,1,U8,0,Allgemein,Allgemein,1,0,1,Yes,,Status Ausgang / Aktivierung 0=AUS 1=EIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,SOL,65,0,0,21040,VA2-FE1 HW-Ausgang,1,U8,0,Allgemein,Allgemein,1,0,1,Yes,,Status Ausgang / Aktivierung 0=AUS 1=EIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
